review_status,doug_checked,carol_checked,exclude,excl_reason,incl_scr,incl_delphi,review_group,term_name,term_label,scr_def,delphi_def,working_def,def_doug,term_description,term_background,eval_methods,team_notes,scr_is_a,scr_relationships,scr_exact_synonym,scr_broad_synonym,delphi_is_a,delphi_relationships,delphi_exact_synonym,delphi_broad_synonym,delphi_see_also,data_visualization_related,obo_id,uri,terms_example,ontology,last_updated,Data quality,version
Review pending,FALSE,TRUE,FALSE,N/A,TRUE,TRUE,4,flexibility,Flexibility,"The ability of the system to adapt to changing information needs or operating conditions, including scaling up or down as necessary, with little additional time, personnel, or funds.","The ability of the system to adapt to changing information needs or operating conditions, including scaling up or down as necessary, with little additional time, personnel, or funds.","The ability of the system to adapt to changes in operating conditions, technologies or information with little additional time, personnel, or funds. Flexible systems can accommodate, for example, new diseases and health conditions, changes in case definitions, and variations in reporting sources.",N/A,"Flexibility is the system’s ability to adapt to new information needs, emerging threats, or changing resources with minimal disruption. This may involve modifying data sources, case definitions, or reporting mechanisms. Standardized formats and modular designs support flexibility. It is closely related to sustainability, resilience, and system responsiveness.","The concept of flexibility was identified 39 times in our scoping review. The concept was first introduced by Thacker et al., 1988 (A method for evaluating systems of epidemiological surveillance) and has since been consistently included for the evaluation of public health, animal health, and One Health surveillance systems. The definition has remained highly consistent within these fields, although occasionally being refered to as ""adaptabilit""y or ""adaptability to changes"". ","Flexibility is probably best evaluated retrospectively by observing how a system has responded to a new demand. Unless efforts have been made to adapt the public health surveillance system to another disease (or other health-related event), a revised case definition, additional data sources, new information technology, or changes in funding, assessing the flexibility of that system might be difficult. In the absence of practical experience, the design and workings of a system can be examined. Simpler systems might be more flexible (i.e., fewer components will need to be modified when adapting the system for a change in information needs or operating conditions).",Flexibility (is more internal) and portability (more external) - is likely important to some key stakeholders. Environmental surveillance is easier than other types of surveillance - to have an attribute that highlights the potential strengths of ES and WBS.,attribute,Parent: TBD,adaptability,scalability,,Parent: TBD,adaptability,scalability,portability,"portability, interoperability, simplicity, efficiency, robustness, sustainability",,,,,,,0.1
Review pending,FALSE,TRUE,FALSE,N/A,TRUE,TRUE,13,governance,Governance,"Refers to the coordination, leadership, and operational effectiveness of surveillance systems, ensuring clear roles, shared responsibilities, formalized collaboration strategies, inclusive decision-making, resource allocation, and effective communication to achieve surveillance objectives across sectors and disciplines.","The coordination, leadership, and operational effectiveness of surveillance systems, ensuring clear roles, shared responsibilities, formalized collaboration strategies, inclusive decision-making, resource allocation, and effective communication to achieve surveillance objectives across sectors and disciplines.",No clear definition from PRQ1.,"The framework of policies, procedures, and oversight mechanisms that guide the operation, data use, and decision-making processes of the surveillance system.","Governance refers to the coordination, leadership, and operational effectiveness of a surveillance system. Strong governance ensures clear roles, shared responsibilities, inclusive decision-making, and formalised collaboration across sectors and disciplines. It involves defined strategic goals, operational structures (e.g., steering committees), and documented agreements between institutions. Effective governance enhances communication, resource allocation, and accountability. It is closely linked to collaboration, and is critical for implementing One Health approaches. It has a positive effect on all other evaluation terms. ",TBD,"Measurement considers leadership, coordination mechanisms, representation, and availability of supporting resources.",N/A,attribute,Parent: Collaboration,N/A,N/A,,Parent: Collaboration,N/A,N/A,N/A,"acceptability and engagement, communication and dissemination, mutual benefit, adherence, compliance, collaboration",,,,,,,0.1
Review pending,FALSE,TRUE,FALSE,N/A,TRUE,FALSE,TBD,granularity,Granularity,The level of detail provided in input sources and output data of the surveillance system. ,N/A,"The input data granularity attribute describes the level of detail expected in the input data sources. This attribute can be based on a single input data field, an entire data table, or the total body of all input data sources. A mismatch between the input data granularity required by the event- based biosurveillance and that of the data available for input will affect the results of the event-based biosurveillance. Data with greater detail may, with some effort, be aggregated to a less detailed level, but the reverse is not always true (Corley 2012). Output granularity describes the level of detail provided in the output data. This attribute is based on the spectrum of output that an event-based biosurveillance may generate (Corley 2012).",N/A,"Granularity refers to the level of detail in both input and output data within a surveillance system. Input granularity indicates how detailed the data sources are, such as individual data points or aggregated tables. Mismatched granularity between the required input for event-based biosurveillance and available data can impact the accuracy of results. For output, granularity reflects how detailed the results are, whether presented as a single data field, a table, or a graphic. Higher granularity in output can help identify specific trends, populations, or infection regions, but lower-detail outputs may not always be able to represent high-detail data.",TBD,TBD,May be by itself or in system description. Has some overlap with completeness.,attribute,"Parent: TBD, Child: N/A",N/A,N/A,N/A,"Parent: TBD, Child: N/A",N/A,N/A,completeness,"data quality, completeness",,,,,,,0.1
Review pending,FALSE,TRUE,FALSE,N/A,TRUE,TRUE,9,historicalData,Historical data,Refers to the quality and accessibility of archived data.,The quality and accessibility of archived data.,"Quality and accessibility of archived data (Drewe 2015, Hoinville 2013, Muellner 2018).",N/A,"Historical data refers to the quality, completeness, and accessibility of archived surveillance information. It is especially important for demonstrating disease freedom, monitoring trends in endemic diseases, and supporting epidemiological research. This term is closely linked to data management and storage, and repeatability. Key considerations include the number of years stored, data reliability, ease of access and analysis, and availability of metadata explaining changes over time. Effective use of historical data enhances surveillance value and enables long-term analysis and planning.",TBD,Questions to consider include: * How many years of data are stored? * How complete and reliable are the data? * Are the data stored in a way that allows the required interrogation and analysis? * Is there a summary overview of the data and collection methods explaining key idiosyncrasies of the data and changes to the data or collection methods over time? * What use is currently made of historical surveillance data? ,"To include historical data in scoping review, to see about Delphi - may just have it as a criterion under data accessibility concept. To have historical data as a criterion of data accessibility. To include for scoping review, to review to see how it would fit for the Delphi - is potentially system-level not in data quality.",attribute,Parent: Data quality,N/A,N/A,,Parent: TBD,N/A,N/A,"accessibility (data), data quality, data management and storage","accessibility (data), data quality, data management and storage",,,,,,,0.1
Review pending,FALSE,TRUE,FALSE,N/A,FALSE,FALSE,2,impact,Impact,N/A,A measure of the usefulness of the surveillance system. ,TBD,N/A,"Impact measures the tangible benefits a surveillance system provides. It reflects how surveillance outputs influence decisions, policy, and interventions, including changes in behavior, protocols, or disease control. High-impact systems provide timely, complete, and representative data aligned with stakeholder and policy needs. Impact is strengthened by  by terms such as sensitivity, timeliness, data completeness, and representativeness, and is demonstrated through concrete actions taken and outcomes achieved based on surveillance findings.",TBD,"Evaluating the impact involves examining real-world examples where the system’s data has influenced public health actions, such as policy changes or control measures. This assessment often requires retrospective analysis and gathering input from key stakeholders to understand the system's effectiveness. Key questions include how well the system’s objectives align with policy and industry needs, how outputs are utilized, and whetherstakeholder information needs have been met. Additionally, the evaluation should examine the system's influence on the development of disease control policies, the prioritization of health threats, and the early detection or mitigation of outbreaks.  It is also important to detail actions taken based on the system’s findings, such as changes in protocols or behaviors. The evaluation should assess the extent to which the system’s objectives have been achieved, providing a clear understanding of its impact on public health and disease management. Retrospective assessments and stakeholder feedback help evaluate whether the system’s outputs have guided effective actions. Regular review of system performance and stakeholder input helps ensure continued relevance and effectiveness in addressing public health threats. Retrospective assessment through stakeholder input helps capture real-world benefits, such as improved disease detection, control, or prioritization.","Impact as a domain? Usefulness related to usability. All cascading under broader impact? Utility closely related to impact? Not a term to that we use, but one that we reference?",N/A,"Parent: TBD, Child: TBD",usefulness,N/A,N/A,"Parent: TBD, Child: TBD",usefulness,N/A,N/A,"effectiveness, efficiency, usefulness, usability, sensitivity, timeliness, representativeness, flexibility, acceptability, completeness",,,,,,,0.1
Consensus [Reviewed],FALSE,FALSE,TRUE,Synonym/sub-attribute,FALSE,FALSE,3,,Integration,"Ability of the surveillance system or components in the system to integrate/connect with other surveillance or public health systems to enhance interoperability, effectiveness and/or to reduce cost (Yang 2022).",,"Interoperability and integration: The extent to which the surveillance system is incorporated into broader public health information systems and workflows, allowing for comprehensive health monitoring and response.","The extent to which the surveillance system is incorporated into broader public health information systems and workflows, allowing for comprehensive health monitoring and response.",N/A,,,Merge/separate intergration and interoperability?,,TBD,N/A,Compatibility,,TBD,N/A,Compatibility,"Coherence, interoperability","Coherence, interoperability",,,,,,,
,FALSE,FALSE,TRUE,Synonym/sub-attribute,FALSE,FALSE,TBD,,Informatics capabilities,,,TBD,N/A,N/A,,,N/A,,Parent: Technical competence and training,N/A,N/A,,Parent: Technical competence and training,N/A,N/A,N/A,N/A,,,,,,,
Review pending,FALSE,TRUE,FALSE,pending,TRUE,TRUE,TBD,laboratoryAndSampleManagement,Laboratory and sample management,Whether testing is carried out using appropriate methods with quality assurance scheme and timely and accurate delivery of results.,Whether testing is carried out using appropriate methods with quality assurance scheme and timely and accurate delivery of results.,TBD,"The processes and practices involved in the handling, processing, and analysis of samples collected during a public health surveillance activity. This component is crucial for ensuring data accuracy, reliability, and timeliness.","Laboratory and sample management evaluates the integration, reliability, and quality of diagnostic laboratory functions within the surveillance system. Key considerations include the implementation of systematic quality management practices, participation in proficiency testing, and adherence to international standards (e.g., ISO 9001, ISO 17025). Effective sample handling, timely analysis, and standardized protocols and harmonization of techniques across laboratories support data comparability. Laboratory and sample management is also closely related to technical competence and training. ",TBD,TBD,N/A,attribute,Parent: TBD,N/A,N/A,,Parent: TBD,N/A,N/A,technical competence and training,"technical competence and training, adherence, compliance, data quality",,,,,,,0.1
Consensus [Reviewed],FALSE,FALSE,TRUE,Synonym/sub-attribute,FALSE,FALSE,6,,Legislative support,,,TBD,N/A,N/A,,,N/A,,Parent: Compliance,N/A,Compliance,,Parent: Compliance,N/A,Compliance,N/A,N/A,,,,,,,
Review pending,FALSE,TRUE,FALSE,N/A,TRUE,FALSE,8,likelihoodRatioOfAPositiveTest,Likelihood ratio of a positive test,Ratio of the probability of a surveillance system detecting an infected individual to the probability of the system incorrectly identifying them as infected when they are in fact not.,N/A,Ratio of the probability of a surveillance system detecting an infected individual to the probability of the system incorrectly identifying them as infected when they are in fact not. Likelihood ratios do not vary with disease prevalence and so are stable expressions of system performance.,"A measure of the performance of a diagnostic test used in surveillance, indicating how much more likely a positive result is to occur in infected versus non-infected individuals.",Likelihood ratios do not vary with disease prevalence and so are stable expressions of system performance.,TBD,TBD,To report all for scoping review. To potentially look at the whole group for the Delphi or potentially further collapse some.,attribute,Parent: Evidence quality/ascertainment performance,N/A,N/A,N/A,Parent: Evidence quality/ascertainment performance,N/A,N/A,TBD,"sensitivity, specificity, positive predictive value, negative predictive value",,,,,,,0.1
