review_status,doug_checked,carol_checked,exclude,excl_reason,incl_scr,incl_delphi,review_group,term_name,term_label,scr_def,delphi_def,working_def,def_doug,term_description,term_background,eval_methods,team_notes,scr_is_a,scr_relationships,scr_exact_synonym,scr_broad_synonym,delphi_is_a,delphi_relationships,delphi_exact_synonym,delphi_broad_synonym,delphi_see_also,data_visualization_related,obo_id,uri,terms_example,ontology,last_updated,Data quality,version
Review complete (discussed),TRUE,TRUE,FALSE,N/A,TRUE,FALSE,10,abilityToContinueTrackingAnEvent,Ability to continue tracking an event,The ability of the surveillance system to continue tracking an event throughout the event life cycle.,N/A,"The ability to continue tracking an event relates to the ability of the biosurveillance model or system to follow an event throughout the event life cycle. For example, an event-based biosurveillance may be quite successful in detecting or forecasting an outbreak of disease, but it may lose its sensitivity as the event progresses (eg, background level of event indicators is too high due to a media announcement).",N/A,"An event-based biosurveillance may be quite successful in detecting or forecasting an outbreak of disease, but it may lose its sensitivity as the event progresses (e.g., due to a high background level of indicators following a media announcement).",This reported concept was only identified by Corley 2012 in the context of biosurveillance models and systems.,N/A,"To identify important clinical definition and be able to continue tracking - would be ascertainment performance. Corley defined it as an operational aspect. One term to encompass ability, stability, etc. for Delphi. Is essentially stability over time - to fold under stability for Delphi.",attribute,Parent: Evidence quality/ascertainment performance,stability (reliability),N/A,subattribute,Parent: Stability,stability (reliability),N/A,N/A,sustainability,,,,,45841,,0.2
Review complete (discussed),TRUE,TRUE,FALSE,N/A,TRUE,FALSE,5,acceptability,Acceptability,The willingness of persons and organizations to participate in the surveillance system.,N/A,The willingness of persons and organisations to participate in the surveillance system.,The degree to which individuals and organizations are willing to participate in the surveillance system and use its data for public health action.,"Acceptability reflects stakeholders' perceptions and attitudes toward the surveillance system, including their willingness to participate. It encompasses recognition of the system's importance, satisfaction with processes, trust in data management, perceived reporting burden, and alignment with ethical and cultural expectations. High acceptability is supported by clear communication, demonstrated value, privacy protections, and responsiveness to user needs.","Acceptability was identified as a foundational concept in the evaluation of public health surveillance, being identified on 34 occassions. In our review, the concept was identified as early as 1988, to reflect ""the willingness of individuals and organizations to participate in the surveillance system"". Overall, definitions have remained largely congruent with the one introduced in 1988. However, the concept has evolved through the incorporation of new elements such as trust and engagement.",TBD,Separate for scoping. Discussion about evolution of the term and the link between the two. Evolution from CDC definition - new aspect is meeting objectives. Definition has evolved from CDC and includes involvement (Calba 2015) and engagement. Now includes stakeholders and public. Acceptability - related to participation. Engagement - synonym to participation. Acceptability and engagement for Delphi.,attribute,Parent: TBD,N/A,participation,N/A,Parent: TBD,N/A,participation,"engagement, collaboration","engagement, collaboration, communication and dissemination, governance?",,,,,45841,,0.2
Review complete (discussed),TRUE,TRUE,FALSE,N/A,FALSE,TRUE,5,acceptabilityAndEngagement,Acceptability and engagement,N/A,The willingness and extent to which individuals and organizations to participate in the surveillance system.,"The willingness of individuals and organizations to participate in the surveillance system, and the extent of their involvement.",N/A,"Acceptability and engagement reflect the willingness to participate in and the degree of involvement with a surveillance system. They are shaped by system design (e.g., simplicity, timeliness), perceived value (e.g., importance, relevance, trust), and social context (e.g., cultural fit, stigma, privacy concerns). High levels of acceptability and engagement improve data quality, sustainability, and stakeholder collaboration but may be limited by political will, resource constraints, and communication barriers.","Acceptability as a surveillance system attribute has evolved since its initial conceptualization. The original CDC 1988 definition focused on willingness of individuals and organizations to participate in surveillance activities. The 2001 CDC guidelines maintained this core concept while expanding factors that influence acceptability. Calba et al. (2015) broadened the concept to include not just willingness but ""the degree to which each of these users is involved in the surveillance."" Contemporary understanding has further expanded to encompass community engagment, participation, and trust—reflecting a shift from traditional, top-down surveillance approaches to more collaborative models. This evolution acknowledges that modern surveillance systems must be acceptable to a wider range of stakeholders beyond traditional public health departments, including affected communities, healthcare providers, private sector entities, and various levels of government. The concept now implicitly recognizes cultural appropriateness, and ethical considerations as components of acceptability.",Measuring acceptability often requires qualitative methods to capture user perspectives and motivations.,Acceptability to focus on engagement and partnerships. Started as acceptability and then morphed into acceptability and engagement. Separate for scoping. Discussion about evolution of the term and the link between the two. Evolution from CDC definition - new aspect is meeting objectives. Definition has evolved from CDC and includes engagement. Now includes stakeholders and public. Acceptability - related to participation. Engagement - synonym to participation. Acceptability and engagement for Delphi.,N/A,Parent: TBD,N/A,participation,attribute,Parent: TBD,N/A,participation,"acceptability, engagement, collaboration","acceptability, engagement, collaboration, communication and dissemination, governance?",,,,,45841,,0.2
Reviewed - finalization pending discussion of ascertainment performance,TRUE,TRUE,FALSE,N/A,TRUE,TRUE,1,accessibilityData,Accessibility (data),The ease with which authorized users can retrieve surveillance data and metadata using standardized protocols.,The ease with which authorized users can retrieve surveillance data and metadata using standardized protocols.,"The extent to which surveillance data and reports are readily accessible to authorized users when needed for timely decision-making and public health action. That includes the ease to which one can obtain, interpret, and use surveillance data.","The extent to which surveillance data and reports are readily accessible to authorized users when needed for timely decision-making and public health action. That includes the ease to which one can obtain, interpret, and use surveillance data.","[To incoporate FAIR in description]. Accessibility in public health surveillance refers to how readily and consistently surveillance outputs (such as alerts, reports, or predictive model results) and input data (such as raw surveillance data or supporting information) are available to end-users, decision-makers, and planners. This includes availability through standardized and sustainable protocols, user-friendly dissemination mechanisms, and manageable data formats. Accessible systems reduce technical, administrative, logistical, and practical barriers, enabling timely decision-making and effective public health responses.","FAIR data concepts, introduced by Yang et al. in 2022, have become increasingly prominent. Definitions of accessibility commonly include providing data “when and how users need them,” although these elements overlap with system availability and communication and dissemination. Accessibility involves both output accessibility (ease of disseminating surveillance results to users) and input accessibility (consistent availability and usability of source data). Effective accessibility also requires sufficient human and technological resources, clear authorization balancing openness with privacy and security, and robust infrastructure for reliable data flow.",TBD,"{Doug: I moved some of the defition to description and notes. Also in literature as data accessibility. Data-level of accessibility. Relate to FAIR. To report accessibility/data accessibility for scoping review? Availability attribute was defined differently in identifed sources. The ability of the surveillance system to ensure that data and metadata are retrievable through standardized, open protocols that are accessible to all users, even once the original data may be unavailable (Yang 2022, Tegegne 2023, adapted from FAIR). 

Definition that is inline with the FAIR data, our review should definitely include FAIR principles and reflect the developments in this field. Accessible: how do you gain access to the data? The next part of the FAIR data principles concerns access to the data. To share or make a data material accessible is not the same thing as sharing the data freely so that they can be accessed and used by everyone. If the material contains sensitive personal data, or special category data, for example, a confidentiality assessment needs to be made before the material can be released to anyone. Metadata, however, are not sensitive, so even if the data cannot be made freely accessible, you can use metadata to show that the material exists and under which conditions you may access and reuse it. Integration of data into the surveillance system. To create new definition in alignment with FAIR data principles.",attribute,Parent: TBD,N/A,N/A,attribute,Parent: TBD,N/A,N/A,"data management and storage, interoperability","data management and storage, interoperability, transparency, timeliness, security, communication and dissemination, collaboration",,,,,45841,TRUE,0.2
Reviewed - finalization pending discussion of ascertainment performance,TRUE,TRUE,FALSE,N/A,TRUE,TRUE,9,accuracy,Accuracy,The proportion of data entries that correctly reflect the true value of the data collected.,The degree to which the data correctly represents the true value of what is being measured [incorporate reference standard - apply to scr definition as well].,The degree to which the data correctly represents the true value of the intended concept or event in a specific context of use.,How well data measurement conforms to a reference or known values.,"[Comparison to the reference standard, ISO,varying definitions]. Accuracy is influenced by several factors, including the sensitivity and specificity of case definitions, the clairty of surveillance forms (whether hardcopy or electronic), the technical competence and training of staff, and the care exercised in data management. It is positively correlated with several other data quality attributes/terms, including representativeness, precision, completeness, and consistency, and is negatively correlated with bias. System acceptability can influence how accurately data are captured and recorded.","Accuracy was identified as an independent concept on eight occassions, distinct from the definitions of ""data quality"" or ""data completeness and correctness"". However, this concept has been defined inconsistently across the literature, with terminology varying by discipline - often referred to as validity, accuracy, or data correctness. The definition of accuracy that we have adopted aligns with the DQO and ISO/IEC 25012 definition.

The definition aligns with established international standards, including ISO 8000-2:2020, which defines accuracy as the correctness of data relative to real-world conditions. It also corresponds to definitions in the Data Quality Ontology (DQO), which emphasizes accuracy as the correctness and precision with which data represent reality. Accuracy assessment often involves validation procedures, comparisons against reference standards, or independent verification processes.","The accuracy of a surveillance system can be accessed using historical data or simulations. To assess its effectiveness in detecting outbreaks, key metrcis should include the number of outbreaks detected, false alarms, and outbreaks missed or detected late. These assessments should be integrated into the system's routine workflow and have the ability to be conducted with minimal effort or complexity. Routine reporting should be automated where possible. Essential data include: the number of statistical aberrations detected at a set threshold in a defined period of time (e.g., frequency per month at a given p-value); actions taken in response to signals (e.g., review for data errors, in-depth follow-up analysis of the specific conditions within the syndrome category, manual epidemiologic analysis to characterize a signal, examining data from other systems, and increasing the frequency of reporting from affected sites); resources allocated for follow-upt; public health response (e.g., an alert to clinicians, timely dissemination of information to other health entities, a vaccination campaign, or no further response); documentation of how every recognized outbreak was detected; an assessment of the value of the follow-up effort (e.g., the effort was an appropriate application of public health resources); a detailed description of the agent, host, and environmental conditions of the outbreak; and the number of outbreaks detected only late in their course or in retrospect.",Accuracy as the main term and have validity captured within it. To have accuracy (data quality) and accuracy (ascertainment performance)?,attribute,Parent: Data quality,"validity, data correctness, bias (Peyre 2019, 2022), comparability",data quality?,,Parent: Data quality,"validity, data correctness, bias (Peyre 2019, 2022), comparability",data quality?,"precision, bias","acceptability, representativeness, precision, bias, completeness, consistency, case definition, technical competence and training, data management",,,,,45846,TRUE,0.2
Consensus [Reviewed],FALSE,FALSE,TRUE,Exact synonym,FALSE,FALSE,4,adaptability,Adaptability,N/A,N/A,TBD,"The system's capacity to modify its operations or outputs in response to changing public health needs, environmental conditions, or technological advancements without significant additional resources.",N/A,,,"To only use the term flexibility. Adaptability was only identified a handful of times in the literature, whereas flexibility was one of the most identified attributes. Was in the original CDC 2001 framework.",,TBD,Flexibility,N/A,,TBD,Flexibility,N/A,N/A,N/A,,,,,,,
Reviewed - finalization pending discussion of ascertainment performance,TRUE,TRUE,FALSE,N/A,TRUE,TRUE,6,adherence,"Adherence --- suggest change to ""Standards use"" or ""Standards adherence""","The degree to which a surveillance system follows and implements established guidelines, protocols, classification systems, and data exchange standards in its core and supporting functions.","The degree to which the surveillance system follows standards across its sturctural, operational, and technical components to ensure consistency and interoperablity.","Degree to which the surveillance system follows guidelines, standards, protocols in its core and supporting functions.",N/A,"Standardization encompasses adherence to recognized guidelines across multiple dimensions of surveillance systems, including methodological protocols, data structures, classification systems, and exchange formats. This attribute covers both technical standards (data formats, interoperability frameworks) and operational standards (case definitions, reporting procedures).  Standards use is closely related to compliance, but differs in focus. While standards use focuses on internal consistency in following best practices and operational protocols, compliance is centred around relevant legislation, regulations and policies, including ethics and security. Beyond compliance, standards use is also tied to other data quality attributes/terms, and is positively correlated with consistency ans technical competence and training.","The concept of adherence was identified six times in our scoping review. However, the overarching concept referred to here was only identified by Yang et al., (2022), with elements of this definition being referenced multiple times throughout the literature (e.g., standards use, transparency).

High adherence is essential for the consistent functioning of the system, as it reduces errors, ensures uniformity, and facilitates the accurate tracking of health-related events or environmental changes. A system with high adherence is more likely to produce accurate and high-quality data, as following established protocols reduces errors and inconsistencies. It also enhances consistency by ensuring uniform application of procedures across time and by different personnel. Furthermore, training and supervision play a critical role in maintaining adherence, as they ensure that individuals are well-equipped to follow protocols correctly and consistently.","Evaluating adherence involves assessing key factors such as the presence of an auditing process to ensure protocols are consistently followed, and whether data collection methods are standardized to maintain high-quality data. It also requires examining the use of harmonized indicators and metrics across sectors to ensure consistent data interpretation. Additionally, adherence can be evaluated by reviewing the use of standardized data elements (e.g., LOINC for lab tests) and electronic data interchange protocols (e.g., Health Level 7). Regular documentation of system protocols, including surveillance strategies and methodologies, is important. Additionally, verifying the enforcement of mandatory requirements for system implementation and data reporting is critical for ensureing full adherence",N/A,attribute,"Child: Standards use, QA/QI intensity (quality control measures), transparency (Yang 2022)",N/A,standards use,,"Child: Standards use, QA/QI intensity (quality control measures), transparency (Yang 2022)",N/A,standards use,compliance,"compliance, governance, data quality, technical competence and training",,,,,,TRUE,0.1
Consensus [Reviewed],FALSE,FALSE,TRUE,Synonym/sub-attribute,FALSE,FALSE,1,availablity,Availability (system),"The ability to be operational when needed (Groseclose 2017; Peyre 2019, Peyre 2022; Muellner 2018; Hoinville 2013; Yang 2022; Albali 2023; Amato 2023; Anonymous 2001; Azofeifa 2018; Babaie 2015; Baker 2006; Buehler 2004, 2008; Calba 2015; Drewe 2012, 2015; Harper 2011; Innes 2022; Lucero-Obusan 2022; Marbus 2020; Meynard 2008; Ng'etich 2021; Sosin 2003; Bordier 2019; Velasova 2015).
","The ability to be operational when needed (Groseclose 2017; Peyre 2019, Peyre 2022; Muellner 2018; Hoinville 2013; Yang 2022; Albali 2023; Amato 2023; Anonymous 2001; Azofeifa 2018; Babaie 2015; Baker 2006; Buehler 2004, 2008; Calba 2015; Drewe 2012, 2015; Harper 2011; Innes 2022; Lucero-Obusan 2022; Marbus 2020; Meynard 2008; Ng'etich 2021; Sosin 2003; Bordier 2019; Velasova 2015).
","The readiness and accessibility of collected information for analysis, reporting, and use in public health decision-making processes.","The readiness and accessibility of collected information for analysis, reporting, and use in public health decision-making processes.","Availability reflects a system’s readiness to reliably collect, process, and disseminate surveillance data when required. It encompasses the continuous functioning of essential components, including infrastructure, skilled personnel, and communication channels, ensuring timely public health responses.",,,"Information-level of accessibility. May be related to usability, etc. Base definition off of Groseclose 2010 and the A in RARR (Muellner)",,"Parent: Stability, Child: N/A",N/A,N/A,,"Parent: Stability, Child: N/A",N/A,N/A,Accessibility (data);,Accessibility (data);,,,,,,,
Review complete (discussed),TRUE,TRUE,FALSE,N/A,TRUE,TRUE,TBD,benefit,Benefit,The direct and indirect advantages produced by the surveillance system.,The direct and indirect positive outcomes produced by the surveillance system.,The direct and indirect advantages produced by the surveillance system.,"The positive outcomes, advantages, or improvements in public health that result from the implementation and use of the system.","[Carol's + time horizon component]. The benefit term is influenced by several factors, including the scope of surveillance objectives, the effectiveness of data use in decision-making, and the capacity for early detection and response. It encompasses direct and indirect outcomes such as cost savings, improved public and animal health, enhanced trade, and prevention of losses in productivity, morbidity, and mortality. Benefits are positively correlated with terms such as timeliness, usefulness, and stability, and are shaped by stakeholder engagement and collaboration. The distribution of benefits across sectors also informs the overall value of the surveillance system.","Benefit was identified as an independent concept nine times in our scoping review, distinct from related concepts such as costs, impact, and efficiency. The concept was first introduced by Hoinville et al., in 2013 and was consistently included in animal health surveillance system evaluation frameworks thereafter. The definition has remained largely unchanged with the execption of Calba et al., 2015 introducing the idea of assessing whether users are satisfied that their requirements have been met in their definition. Their paper also focused solely on non-monetary benefits. However, despite the alignment of this definition across animal health surveillance evaluation frameworks, benefit was not identified as a standalone concept in the context of public health surveillance.","The evaluation methods for the benefits of surveillance activities involve identifying and quantifying both direct and indirect benefits. One approach includes contingent valuation methods (CVM) like proportional piling, where stakeholders are asked what they would be willing to pay for improvements such as sanitary information. The evaluation process should list all potential benefits, categorize them, and quantify market benefits where possible. Non-monetary benefits, such as improved public health or consumer confidence, should also be considered using alternative methods like quality-adjusted life years (QALY). Additionally, the distribution of benefits across various stakeholders, such as producers, consumers, and the livestock industry, should be assessed. The relationship between surveillance, intervention, and the mitigation of losses should be explored, as many benefits arise from integrated disease control. Finally, the evaluation should capture indirect benefits like enhanced trade opportunities and the improved capacity to respond to future threats or outbreaks.",,attribute,Parent: Impact/value,N/A,N/A,,Parent: Impact/value,N/A,N/A,"costs, impact","impact, effectiveness, efficiency, costs, usability, usefulness, acceptability and engagement",,,,,45846,,0.2
Review complete (discussed),TRUE,TRUE,FALSE,N/A,TRUE,FALSE,8,biasAscertainmentPerformance,Bias (ascertainment performance),The extent to which a prevalence estimate produced by the surveillance system deviates from the true prevalence value.,The extent to which a measurement estimate produced by the surveillance system deviates from a reference value.,"The extent to which a prevalence estimate produced by the surveillance system deviates from the value of the true prevalence (Drewe 2015, Hoinville 2013, Velasova 2015, Peyre 2019, Peyre 2022).","Systematic errors in the collection, analysis, interpretation, or dissemination of data that lead to inaccurate or skewed results, potentially affecting public health decisions.","Case detection bias occurs when systematic measurement errors cause surveillance data to systematically differ from the true occurrence of the health event in the target population. Bias can arise from multiple sources including diagnostic test characteristics, reporting practices, population coverage, sampling methods, case definitions, and temporal factors.
The magnitude and impact of bias depends on surveillance objectives. For general population surveillance, bias can distort prevalence estimates and trend analysis, leading to incorrect public health conclusions.","Bias was identified as a reported concept six times in our scoping review. The concept was first introduced by Hoinville et al., in 2013 and was consistently included in animal health surveillance system evaluation frameworks thereafter. The definition has remained largely unchanged with the execption of Peyre 2019 & 2022 incorporating the idea of ""bias=accuracy"" in their definition. Despite its frequent application in evaluating animal health surveillance systems, the term ""bias"" was not identified in the context of public health surveillance.

Evaluating bias in surveillance systems is essential for accurately monitoring endemic diseases.","Evaluating case detection bias (also called ascertainment bias) involves assessing systematic errors that affect a surveillance system's ability to accurately identify and classify cases or events. This includes selection bias (when certain cases or populations are systematically over- or under-represented) and information bias (when data collection methods systematically affect measurement accuracy). Bias represents the consequence of measurement errors that can be characterized through surveillance performance measures such as sensitivity, specificity, and representativeness.
Evaluating bias involves assessing potential sources, such as diagnostic sensitivity and specificity, underreporting in passive surveillance, and how the sample population is chosen (e.g., animals from abattoirs might not represent the overall population). Additionally, geographic, demographic, or ecological factors can contribute to bias. To quantify and correct for bias, methods like comparison across multiple data sources, simulation models, statistical methods, or capture-recapture analyses can be used. 

Assessment of bias (systematic error) should address the following:
* Selection bias: systematic differences between sample and target populations
* Performance bias: systematic differences between groups in care provided or in exposure to factors other than the interventions of interest
* Detection bias: systematic differences in how the outcome is determined (eg, death scene investigation protocols)
* Attrition bias: systematic loss to follow up
* Reporting bias: systematic differences in how people report symptoms or ideation
* Other: biases related to a particular data source","Do we want to have bias (ascertainment) or bias (communication)? - bias from misclassification error? Bias to be under ascertainment performance. I am back tracking on ""ascertainment performance"". I think we need more of a lay term, but we can reference ascertainment performance in our definition, synonyms, etc. ""case detection,"" ""case or event measurement""?",attribute,Parent: Evidence quality/ascertainment performance,N/A,N/A,,Parent: Evidence quality/ascertainment performance,N/A,N/A,"accuracy, precision, sensitivity, specificity, representativeness, data quality, predictive value positive, false detection rate","sensitivity, specificity, false-alarm rate, representativeness, coverage, accuracy, precision",,,,,45846,,0.2
