id,theme_code,covidence_num,reported_concept_id,zotero_citation_key,study_id,year,reported_concept_parent,extracted_field,extracted_category,reported_concept,domain_code,sub_domain_code,mapped_parent_term,parent_domain,attribute_sequence_with_versioning,[ARCHIVE - no variable] reported_concept_def,reported_concept_def,notes,domain_notes,concept_eval_methods,concept_meas_consid,concept_eval_criteria,concept_is_primary,extraction_confidence,source_synonyms,scr_term,delphi_term,scr_group,scr_subgroup,scr_attribute,consensus_attribute,scr_criteria,scr_status,consensus_theme,consensus_domain,consensus_sub-domain,consensus_criteria,related_concept
21,6,13368,RC_C13368_D00_SD00_A01,GuidelinesEvaluatingSurveillance1988,(CDC 1988),1988,N/A,Acceptability,Attribute,Acceptability,,,#N/A,,1,Acceptability reflects the willingness of individuals and organizations to participate in the surveillance system.,Acceptability reflects the willingness of individuals and organizations to participate in the surveillance system., ,,"In terms of evaluating a surveillance system, acceptability refers to the willingness to use the system by: a) persons outside the sponsoring agency, e.g., those who are asked to do something for the system and b) persons in the sponsoring agency that operates the system. To assess acceptability, one must consider the points of interaction between the system and its participants (Figure 1), including persons with the condition and those reporting cases.

Quantitative indicators of acceptability include:
a. Subject or agency participation rates
b. If participation is high, how quickly it was achieved
c. Interview completion rates and question refusal rates (if the system involves interviews with subjects)
d. Completeness of report forms
e. Physician, laboratory, or hospital/facility reporting rates
f. Timeliness of reporting Some of these measures may be obtained from a review of surveillance report forms, while others would require special studies or surveys.","Acceptability is a largely subjective attribute that encompasses the willingness of persons on whom the system depends to provide accurate, consistent, complete, and timely data. Some factors influencing the acceptability of a particular system are:
a. The public health importance of the health event
b. Recognition by the system of the individual's contribution
c. Responsiveness of the system to suggestions or comments
d. Time burden relative to available time
e. Federal and state legislative restrictions on data collection and assurance of confidentiality
f. Federal and state legislative requirements for reporting",N/A,,,Participation,acceptability,acceptabilityAndEngagement,Functional attributes,System function attributes,Acceptability and engagement (also known as participation),acceptability,Pending,Pending,Collaboration,Operations actors; System stakeholders,N/A,N/A,Pending
49,3,13368,RC_C13368_D00_SD00_A02,GuidelinesEvaluatingSurveillance1988,(CDC 1988),1988,N/A,Cost,Attribute,Cost,,,#N/A,,2,N/A,N/A, ,,N/A,"Efforts to increase sensitivity, PVP, timeliness, and representativeness tend to increase the cost of a surveillance system, although savings in efficiency with automation may offset some of these costs (12).",N/A,,,N/A,costs,costs,Value attributes,System performance attributes,Cost,costs,Pending,Pending,Financial performance and resources,Cost,N/A,N/A,Pending
122,6,13368,RC_C13368_D00_SD00_A03,GuidelinesEvaluatingSurveillance1988,(CDC 1988),1988,N/A,Flexibility,Attribute,Flexibility,,,#N/A,,3,"A flexible surveillance system can adapt to changing information needs or operating conditions with little additional cost in time, personnel, or allocated funds. Flexible systems can accommodate, for example, new diseases and health conditions, changes in case definitions, and variations in reporting sources.","A flexible surveillance system can adapt to changing information needs or operating conditions with little additional cost in time, personnel, or allocated funds. Flexible systems can accommodate, for example, new diseases and health conditions, changes in case definitions, and variations in reporting sources.", ,,"Flexibility is probably best judged retrospectively, by observing how a system responded to a new demand. For example, when acquired immunodeficiency syndrome (AIDS) emerged in 1981, the existing notifiable disease reporting system of state health departments was used to report cases, and AIDSsurveillance has adapted to rapidly advancing knowledge about the disease, its diagnosis, and its risk factors. Another example is the capacity of the gonorrhea surveillance system to accommodate special surveillance for penicillinase-producing Neisseria gonor-rhoeae.","Unless efforts have been made to adapt a system to another disease, it may be difficult to assess the flexibility of that system. In the absence of practical experience, one can look at the design and workings of a system. Generally, simpler systems will be more flexible--fewer components will need to be modified when adapting the system for use with another diseas",N/A,,,flexibility,flexibility,flexibility,Functional attributes,System function attributes,Flexibility (also known as adaptability),adaptability,Pending,Pending,Integration and stability,Resiliency,N/A,N/A,Pending
167,6,13368,RC_C13368_D00_SD00_A04,GuidelinesEvaluatingSurveillance1988,(CDC 1988),1988,N/A,Predictive Value Positive (PVP),Attribute,Predictive Value Positive (PVP),,,#N/A,,4,Predictive value positive (PVP) is the proportion of persons identified as having cases who actually do have the condition under surveillance (5). In Table 1 this is represented by A/(A+B). ,Predictive value positive (PVP) is the proportion of persons identified as having cases who actually do have the condition under surveillance (5). In Table 1 this is represented by A/(A+B). , ,,"In assessing PVP, primary emphasis is placed on the confirmation of cases reported through the surveillance system. Its effect on the use of public health resources can be considered on two levels. At the level of an individual case, PVP affects the amount of resources used for case investigations. For example, in some states every reported case of type A hepatitis is promptly investigated by a public health nurse, and family members at risk are referred for prophylactic treatment with immune globulin. A surveillance system with low PVP--and therefore frequent ""false-positive"" case reports--would lead to wasted resources.

The other level is that of detection of epidemics. A high rate of erroneous case reports may trigger an inappropriate outbreak investigation. Therefore, the proportion of epidemics identified by the surveillance system that are true epidemics is needed to assess this attribute.

Calculating the PVP may require that records be kept of all interventions initiated because of information obtained from the surveillance system. A record of the number of case investigations done and the proportion of persons who actually had the condition under surveillance would allow the calculation of the PVP at the level of case detection. Personnel activity reports, travel records, and telephone logbooks may all be useful in estimating the PVP at the epidemic detection level.","PVP is important because a low value means that a) non-cases are being investigated and b) epidemics may be mistakenly identified. PFalse-positiveP' reports may lead to unnecessary intervention, and falsely detected PepidemicsP' may lead to costly investigations and undue concern in the community. A surveillance system with high PVP will lead to fewer wild-goose chases and wasted resources.

An example of a surveillance evaluation that examined PVP was reported by Barker et al. They reviewed hospital charts to determine the proportion of persons admitted with a diagnosis of stroke who had the diagnosis confirmed (6). Of 1,604 patients admitted to seven acute-care hospitals with a stroke-related diagnosis, 903 (PVP = 56%) were subsequently confirmed to have had strokes.

The PVP for a health event is closely related to the clarity and specificity of the case definition. Good communication between the persons who report cases and the receiving agency also can improve PVP.

The PVP reflects the sensitivity and specificity of the case definition and the prevalence of the condition in the population (Table 1). The PVP increases with increasing specificity and prevalence.",N/A,,,Precision,positivePredicitiveValue,positivePredicitiveValue,Effectiveness attributes,Evidence quality attributes,Predictive Value Positive (PVP),predictive value positive (PVP),Pending,Pending,Surveillance effectiveness,Data quality,Ascertainment performance,N/A,Pending
201,6,13368,RC_C13368_D00_SD00_A05,GuidelinesEvaluatingSurveillance1988,(CDC 1988),1988,N/A,Representativeness,Attribute,Representativeness,,,#N/A,,5,A surveillance system that is representative accurately describes a) the occurrence of a health event over time and b) its distribution in the population by place and person.,A surveillance system that is representative accurately describes a) the occurrence of a health event over time and b) its distribution in the population by place and person., ,,"Representativeness is assessed by comparing the characteristics of reported events to all such actual events. Although the latter information is generally not known, some judgment of the representativeness of surveillance data is possible, based on knowledge of:
a. Characteristics of the population--e.g., age, socioeconomic status, geographic location (5);
b. Natural history of the condition--e.g., latency period, mode of transmission, fatal outcome;
c. Prevailing medical practices--e.g., sites performing diagnostic tests, physician-referral patterns (7,8);
d. Multiple sources of data--e.g., mortality rates for comparison with incidence data, laboratory reports for comparison with physician reports. Representativeness can be examined through special studies that seek to identify a probability sample of all cases.

Quality of data is an important part of representativeness. Much of the discussion in this document focuses on the identification and classification of cases. However, most surveillance systems rely on more than simple case counts. Information commonly collected includes the demographic characteristics of affected persons, details about the health event, and notification of the presence or absence of potential risk factors.
The quality and usefulness and representativeness of this information depends on its completeness and validity.

Quality of data is influenced by the clarity of surveillance forms, the quality of training and supervision of persons who complete surveillance forms, and the care exercised in data management. A review of these facets of a surveillance system provides an indirect measure of quality of data. Examining the percentage of unknown or blank responses to items on surveillance forms or questionnaires is straightforward.Assessing the reliability and validity of responses would require such special studies as chart reviews or re-interviews of respondents.","In order to generalize findings from surveillance data to the population at large, the data from a surveillance system should reflect the population characteristics that are important to the goals and objectives of that system. These characteristics generally relate to time, place, and person. An important result of evaluating the representativeness of a surveillance system is the identification of population subgroups that may be systematically excluded from the reporting system. This process allows appropriate modification of data collection and more accurate projection of incidence of the health event in the target population.

For example, an evaluation of reporting of hepatitis in a county in Washington State suggested that cases of type B hepatitis were under-reported among homosexual males and that cases of type non A-non B hepatitis were under-reported among persons given blood transfusions. The importance of these risk factors as contributors to the occurrence of these diseases was apparently underestimated by the selective under-reporting of certain types of hepatitis cases (9).

Errors and bias can make their way into a surveillance system at any stage. Because surveillance data are used to identify high-risk groups, to target interventions, and to evaluate interventions, it is important to be aware of the strengths and limitations of the information in the system.

So far the discussion of attributes has been aimed at the information collected for cases, but in many surveillance systems morbidity and mortality rates are calculated. The denominators for these rate calculations are often obtained from a completely separate data system maintained by another agency, e.g., the Bureau of the Census. Thought should be given to the comparability of categories (e.g., race, age, residence) on which the numerators and denominators of rate calculations are based.",N/A,,,N/A,representativeness,representativeness,Functional attributes,Inclusion attributes,Representativeness,representativeness,Pending,Pending,Surveillance effectiveness,System performance,Equity-related,N/A,bias
233,6,13368,RC_C13368_D00_SD00_A06,GuidelinesEvaluatingSurveillance1988,(CDC 1988),1988,N/A,Sensitivity,Attribute,Sensitivity,,,#N/A,,6,"The sensitivity of a surveillance system can be considered on two levels. First, at the level of case reporting, the proportion of cases of a disease or health condition detected by the surveillance system can be evaluated. In Table 1 this is represented by A/(A+C). Second, the system can be evaluated for its ability to detect epidemics (3). ","The sensitivity of a surveillance system can be considered on two levels. First, at the level of case reporting, the proportion of cases of a disease or health condition detected by the surveillance system can be evaluated. In Table 1 this is represented by A/(A+C). Second, the system can be evaluated for its ability to detect epidemics (3). ", ,,"The sensitivity of a surveillance system is affected by the likelihood that:
a. Persons with certain diseases or health conditions seek medical care;
b. The diseases or conditions will be diagnosed, reflecting the skill of care providers and the sensitivity of diagnostic tests; and
c. The case will be reported to the system, given the diagnosis. These three conditions can be extended by analogy to surveillance systems that do not fit the traditional disease care-provider model. For example, the sensitivity of a telephone-based surveillance system of morbidity or risk factors is affected by:
a. The number of people who have telephones, who are at home when the call is placed, and who agree to participate;
b. The ability of persons to understand the questions and correctly identify their status; and
c. The willingness of respondents to report their status. The extent to which these questions are explored depends on the system and on the resources available for the evaluation. The measurement of sensitivity in a surveillance system requires a) the validation of information collected by the system and b) the collection of information external to the system to determine the frequency of the condition in a community (4). From a practical standpoint, the primary emphasis in assessing sensitivity--assuming that most reported cases are correctly classified--is to estimate the proportion of the total number of cases in the community being detected by the system","A surveillance system that does not have high sensitivity can still be useful in monitoring trends, as long as the sensitivity remains reasonably constant. Questions concerning sensitivity in surveillance systems most commonly arise when changes in disease occurrence are noted. Changes in sensitivity can be precipitated by such events as heightened awareness of a disease, introduction of new diagnostic tests, and changes in the method of conducting surveillance. A search for such surveillance ""artifacts"" is often an initial step in outbreak investigations.

As sensitivity and PVP approach 100%, a surveillance system is more likely to be representative of the population being monitored. However, as sensitivity increases, PVP may decrease. Efforts to increase sensitivity and PVP tend to make a surveillance system more complex--potentially decreasing its acceptability, timeliness, and flexibility. For example, a study comparing health-department-initiated (active) surveillance and provider-initiated (passive) surveillance did not improve timeliness, despite increased sensitivity (8)",N/A,,,recall,sensitivity,sensitivity,Effectiveness attributes,Evidence quality attributes,Sensitivity,sensitivity,Pending,Pending,Surveillance effectiveness,Data quality,Ascertainment performance,N/A,Pending
269,6,13368,RC_C13368_D00_SD00_A07,GuidelinesEvaluatingSurveillance1988,(CDC 1988),1988,N/A,Simplicity,Attribute,Simplicity,,,#N/A,,7,The simplicity of a surveillance system refers to both its structure and ease of operation. Surveillance systems should be as simple as possible while still meeting their objectives.,The simplicity of a surveillance system refers to both its structure and ease of operation. Surveillance systems should be as simple as possible while still meeting their objectives., ,,"A chart describing the flow of information and the lines of response in a surveillance system can help assess the simplicity or complexity of a surveillance system. A flow chart for a generic surveillance system is illustrated in Figure 1.

The following measures might be considered in evaluating the simplicity of a system:
a. Amount and type of information necessary to establish the diagnosis
b. Number and type of reporting sources
c. Method(s) of transmitting case information/data
d. Number of organizations involved in receiving case reports
e. Staff training requirements
f. Type and extent of data analysis
g. Number and type of users of compiled case information
h. Method of distributing reports or case information to these users
i. Time spent with the following tasks:
1. Maintaining the system
2. Collecting case information
3. Transmitting case information
4. Analyzing case information
5. Preparing and disseminating surveillance reports","It may be useful to think of the simplicity of a surveillance system from two perspectives: the design of the system and the size of the system. An example of a system that is simple in design is one whose case definition is easy to apply and in which the person identifying the case will also be the one analyzing and using the information. A more complex system might involve some of the following:
a. Special laboratory tests to confirm the case
b. Telephone contact or a home visit by a public health nurse to collect detailed information
c. Multiple levels of reporting (e.g., with the Notifiable Diseases Reporting System, case reports may start with the doctor who makes the diagnosis and pass through county and state health departments before going to the Centers for Disease Control) Simplicity is closely related to timeliness and will affect the amount of resources that are required to operate the system",N/A,,,N/A,simplicity,simplicity,Functional attributes,System function attributes,Simplicity,simplicity,Pending,Pending,Integration and stability,Resiliency,N/A,N/A,Pending
341,6,13368,RC_C13368_D00_SD00_A08,GuidelinesEvaluatingSurveillance1988,(CDC 1988),1988,N/A,Timeliness,Attribute,Timeliness,,,#N/A,,8,Timeliness reflects the speed or delay between steps in a surveillance system.,Timeliness reflects the speed or delay between steps in a surveillance system., ,,"The major steps in a surveillance system are shown in Figure 2. The time interval linking any two of the steps in this figure can be examined. The interval usually considered first is the amount of time between the onset of an adverse health event and the report of the event to the public health agency responsible for instituting control and prevention measures. Another aspect of timeliness is the time required for the identification of trends, outbreaks, or the effect of control measures. With acute diseases, the onset of symptoms is usually used. Sometimes the date of exposure is used. With chronic diseases, it may be more useful to look at elapsed time from diagnosis rather than to estimate an onset date. ","The timeliness of a surveillance system should be evaluated in terms of availability of information for disease control--either for immediate control efforts or for long-term program planning.

For example, a study of a surveillance system for Shigella infections indicated that the typical case of shigellosis was brought to the attention of health officials 11 days after onset of symptoms--a period sufficient for the occurrence of secondary and tertiary transmission. This suggests that the level of timeliness was not satisfactory for effective disease control (10). In contrast, when there is a long period oflatency between exposure and appearance of disease, the rapid identification of cases of illness may not be as important as the rapid availability of exposure data to provide a basis for interrupting and preventing exposures that lead to disease. In another time frame, surveillance data are being used by public health agencies to track progress toward the 1990 Objectives for the Nation and to plan for the Year 2000 Objectives.

The need for rapidity of response in a surveillance system depends on the nature of the public health problem under surveillance and the objectives of that system. Recently, computer technology has been integrated into surveillance systems and may promote timeliness (11,12)
",N/A,,,N/A,timeliness,timeliness,Effectiveness attributes,Evidence quality attributes,Timeliness,timeliness,Pending,Pending,Surveillance effectiveness,Data quality,N/A,N/A,accessibility
365,6,13368,RC_C13368_D00_SD00_A09,GuidelinesEvaluatingSurveillance1988,(CDC 1988),1988,N/A,Usefulness,Attribute,Usefulness,,,#N/A,,9,"A surveillance system is useful if it contributes to the prevention and control of adverse health events, including an improved understanding of the public health implications of such events. A surveillance system can also be useful if it helps to determine that an adverse health event previously thought to be unimportant is actually important.","A surveillance system is useful if it contributes to the prevention and control of adverse health events, including an improved understanding of the public health implications of such events. A surveillance system can also be useful if it helps to determine that an adverse health event previously thought to be unimportant is actually important.", ,,"An assessment of the usefulness of a surveillance system should begin with a review of the objectives of the system and should consider the dependence of policy decisions and control measures on surveillance.
Depending on the objectives of a particular surveillance system, the system may be considered useful if it satisfactorily addresses at least one of the following questions. Does the system:
Detect trends signaling changes in the occurrence of disease?
Detect epidemics?
Provide estimates of the magnitude of morbidity and mortality related to the health problem under surveillance?
Stimulate epidemiologic research likely to lead to control or prevention?
Identify risk factors associated with disease occurrence?
Permit assessment of the effects of control measures?
Lead to improved clinical practice by the health-care providers who are the constituents of the surveillance system?","Usefulness may be affected by all the attributes of surveillance. Increased sensitivity may afford a greater opportunity for identifying epidemics and understanding the natural course of an adverse health event in a community. Improved timeliness allows control and prevention activities to be initiated earlier. Increased predictive value positive enables public health officials to focus on productive activities. A representative surveillance system will better characterize the epidemiologic characteristics of a health event in a defined population. Systems that are simple, flexible, and acceptable also tend to be more useful.",N/A,,,appropriateness; relevance; utility,usefulness,impact,Value attributes,System performance attributes,Usefulness,usefulness,Pending,Pending,Financial performance and resources,Impact,N/A,N/A,effectiveness
1,4,2749,RC_C2749_D00_SD00_A01,thackerPublicHealthSurveillance1988,Thacker 1988,1988,N/A,Acceptability,Attribute,Acceptability,,,#N/A,,1,"CDC 1988 [""Acceptability reflects the willingness of individuals and organizations to participate in the system""]","CDC 1988 [""Acceptability reflects the willingness of individuals and organizations to participate in the system""]", ,,N/A,N/A,N/A,,,Participation,acceptability,acceptabilityAndEngagement,Functional attributes,System function attributes,Acceptability and engagement (also known as participation),acceptability,Pending,Pending,Collaboration,Operations actors; System stakeholders,N/A,N/A,Pending
